Original Name,Random Name ,,Animal_ID,Genotype,Sex,Condition
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,18991-10286-6477.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,29384-13636-16570.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,9861-6604-23154.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,28610-30203-27907.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section005_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,5694-11587-14086.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8350_cKO_P94_F_NR_section006_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,22649-30299-6841.tif,,AB8350,cKO,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8351_cWT_P94_F_MD_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,25987-1958-23336.tif,,AB8351,cWT,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8351_cWT_P94_F_MD_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,11922-6007-3211.tif,,AB8351,cWT,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8351_cWT_P94_F_MD_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,21113-13283-19958.tif,,AB8351,cWT,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8351_cWT_P94_F_MD_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,31997-3994-29274.tif,,AB8351,cWT,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8351_cWT_P94_F_MD_section005_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,19779-31296-9361.tif,,AB8351,cWT,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8352_cWT_P94_M_MD_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,4724-16440-22231.tif,,AB8352,cWT,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8352_cWT_P94_M_MD_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,24740-4591-10984.tif,,AB8352,cWT,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8352_cWT_P94_M_MD_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,20123-30747-23683.tif,,AB8352,cWT,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8352_cWT_P94_M_MD_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,28804-1291-22855.tif,,AB8352,cWT,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8353_cWT_P94_F_NR_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,23757-28795-15843.tif,,AB8353,cWT,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8353_cWT_P94_F_NR_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,21187-6540-32485.tif,,AB8353,cWT,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8353_cWT_P94_F_NR_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,1008-28410-13071.tif,,AB8353,cWT,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8353_cWT_P94_F_NR_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,15394-12834-10473.tif,,AB8353,cWT,F,NR
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8354_cKO_P94_F_MD_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,21742-4030-4835.tif,,AB8354,cKO,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8354_cKO_P94_F_MD_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,24103-28665-19096.tif,,AB8354,cKO,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8354_cKO_P94_F_MD_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,2471-8738-20590.tif,,AB8354,cKO,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8354_cKO_P94_F_MD_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,13380-31428-22187.tif,,AB8354,cKO,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8354_cKO_P94_F_MD_section005_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,25711-1965-25989.tif,,AB8354,cKO,F,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8355_cKO_P94_M_MD_section001_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,11701-18098-8959.tif,,AB8355,cKO,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8355_cKO_P94_M_MD_section002_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,25721-30809-24955.tif,,AB8355,cKO,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8355_cKO_P94_M_MD_section003_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,28356-2065-26398.tif,,AB8355,cKO,M,MD
TILESCANS_Gabrg2cKO_ODP_adult_20240703_lif - 240704_ODP_adult_set1_AB8355_cKO_P94_M_MD_section004_contra_488-GFP_594-Arc_20X_Merged.tif (red)_.tif,15815-16461-16234.tif,,AB8355,cKO,M,MD
